names_IUCN,names_elton,names_phylo,diff_IUCN_elton,diff_IUCN_phylo
Abeillia_abeillei,Abeillia_abeillei,Abeillia_abeillei,,
Abroscopus_albogularis,Abroscopus_albogularis,Abroscopus_albogularis,,
Abroscopus_schisticeps,Abroscopus_schisticeps,Abroscopus_schisticeps,,
Abroscopus_superciliaris,Abroscopus_superciliaris,Abroscopus_superciliaris,,
Aburria_aburri,Aburria_aburri,Aburria_aburri,,
Acanthagenys_rufogularis,Acanthagenys_rufogularis,Acanthagenys_rufogularis,,
Acanthidops_bairdi,Acanthidops_bairdii,Acanthidops_bairdii,Typo,Typo
Acanthis_flammea,Carduelis_flammea,Carduelis_flammea,New genus,New genus
Acanthisitta_chloris,Acanthisitta_chloris,Acanthisitta_chloris,,
Acanthiza_apicalis,Acanthiza_apicalis,Acanthiza_pusilla,,Lump/split
Acanthiza_chrysorrhoa,Acanthiza_chrysorrhoa,Acanthiza_chrysorrhoa,,
Acanthiza_cinerea,Gerygone_cinerea,Gerygone_cinerea,New genus,New genus
Acanthiza_ewingii,Acanthiza_ewingii,Acanthiza_ewingii,,
Acanthiza_inornata,Acanthiza_inornata,Acanthiza_inornata,,
Acanthiza_iredalei,Acanthiza_iredalei,Acanthiza_iredalei,,
Acanthiza_katherina,Acanthiza_katherina,Acanthiza_katherina,,
Acanthiza_lineata,Acanthiza_lineata,Acanthiza_lineata,,
Acanthiza_murina,Acanthiza_murina,Acanthiza_murina,,
Acanthiza_nana,Acanthiza_nana,Acanthiza_nana,,
Acanthiza_pusilla,Acanthiza_pusilla,Acanthiza_pusilla,,
Acanthiza_reguloides,Acanthiza_reguloides,Acanthiza_reguloides,,
Acanthiza_robustirostris,Acanthiza_robustirostris,Acanthiza_robustirostris,,
Acanthiza_uropygialis,Acanthiza_uropygialis,Acanthiza_uropygialis,,
Acanthoptila_nipalensis,Turdoides_nipalensis,Turdoides_nipalensis,New genus,New genus
Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,,
Acanthorhynchus_tenuirostris,Acanthorhynchus_tenuirostris,Acanthorhynchus_tenuirostris,,
Acanthornis_magna,Acanthornis_magna,Acanthornis_magna,,
Accipiter_albogularis,Accipiter_albogularis,Accipiter_albogularis,,
Accipiter_badius,Accipiter_badius,Accipiter_badius,,
Accipiter_bicolor,Accipiter_bicolor,Accipiter_bicolor,,
Accipiter_brachyurus,Accipiter_brachyurus,Accipiter_brachyurus,,
Accipiter_brevipes,Accipiter_brevipes,Accipiter_brevipes,,
Accipiter_butleri,Accipiter_butleri,Accipiter_butleri,,
Accipiter_castanilius,Accipiter_castanilius,Accipiter_castanilius,,
