names_IUCN,names_phylo,names_elton,diff_IUCN_elton,diff_IUCN_phylo
Abditomys_latidens,Abditomys_latidens,Abditomys_latidens,,
Abeomelomys_sevia,Abeomelomys_sevia,Abeomelomys_sevia,,
Abrawayaomys_ruschii,Abrawayaomys_ruschii,Abrawayaomys_ruschii,,
Abrocoma_bennettii,Abrocoma_bennettii,Abrocoma_bennettii,,
Abrocoma_boliviensis,Abrocoma_boliviensis,Abrocoma_boliviensis,,
Abrocoma_budini,Abrocoma_budini,Abrocoma_budini,,
Abrocoma_cinerea,Abrocoma_cinerea,Abrocoma_cinerea,,
Abrocoma_famatina,Abrocoma_famatina,Abrocoma_famatina,,
Abrocoma_shistacea,Abrocoma_shistacea,Abrocoma_shistacea,,
Abrocoma_uspallata,Abrocoma_uspallata,Abrocoma_uspallata,,
Abrocoma_vaccarum,Abrocoma_vaccarum,Abrocoma_vaccarum,,
Abrothrix_andinus,Abrothrix_andinus,Abrothrix_andinus,,
Abrothrix_illutea,Abrothrix_illuteus,Abrothrix_illuteus,Typo,Typo
Abrothrix_jelskii,Abrothrix_jelskii,Abrothrix_jelskii,,
Abrothrix_lanosus,Abrothrix_lanosus,Abrothrix_lanosus,,
Abrothrix_longipilis,Abrothrix_longipilis,Abrothrix_longipilis,,
Abrothrix_olivaceus,Abrothrix_olivaceus,Abrothrix_olivaceus,,
Abrothrix_sanborni,Abrothrix_sanborni,Abrothrix_sanborni,,
Acerodon_celebensis,Acerodon_celebensis,Acerodon_celebensis,,
Acerodon_humilis,Acerodon_humilis,Acerodon_humilis,,
Acerodon_jubatus,Acerodon_jubatus,Acerodon_jubatus,,
Acerodon_leucotis,Acerodon_leucotis,Acerodon_leucotis,,
Acerodon_mackloti,Acerodon_mackloti,Acerodon_mackloti,,
Acinonyx_jubatus,Acinonyx_jubatus,Acinonyx_jubatus,,
Acomys_airensis,Acomys_airensis,Acomys_airensis,,
Acomys_cahirinus,Acomys_cahirinus,Acomys_cahirinus,,
Acomys_cilicicus,Acomys_cilicicus,Acomys_cilicicus,,
Acomys_cineraceus,Acomys_cineraceus,Acomys_cineraceus,,
Acomys_dimidiatus,Acomys_dimidiatus,Acomys_dimidiatus,,
Acomys_ignitus,Acomys_ignitus,Acomys_ignitus,,
Acomys_johannis,Acomys_johannis,Acomys_johannis,,
Acomys_kempi,Acomys_kempi,Acomys_kempi,,
Acomys_louisae,Acomys_louisae,Acomys_louisae,,
Acomys_minous,Acomys_minous,Acomys_minous,,
