"","cell_id","SR"
"1",1,3
"2",2,4
"3",3,4
"4",4,4
"5",5,4
"6",6,4
"7",7,2
"8",8,4
"9",9,4
"10",10,2
"11",11,1
"12",12,4
"13",13,4
"14",14,1
"15",15,1
"16",16,4
"17",17,4
"18",18,1
"19",19,1
"20",20,2
"21",21,1
"22",22,4
"23",23,6
"24",24,2
"25",25,2
"26",26,3
"27",27,8
"28",28,2
"29",29,1
"30",30,7
"31",31,8
"32",32,4
"33",33,3
"34",34,4
"35",35,2
"36",36,7
"37",37,8
"38",38,3
"39",39,4
"40",40,6
"41",41,7
"42",42,2
"43",43,2
"44",44,6
"45",45,7
"46",46,3
"47",47,6
"48",48,10
"49",49,9
"50",50,8
"51",51,7
"52",52,14
"53",53,16
"54",54,19
"55",55,19
"56",56,23
"57",57,8
"58",58,8
"59",59,7
"60",60,13
"61",61,13
"62",62,11
"63",63,17
"64",64,8
"65",65,15
"66",66,18
"67",67,18
"68",68,19
"69",69,19
"70",70,25
"71",71,8
"72",72,8
"73",73,9
"74",74,15
"75",75,15
"76",76,20
"77",77,19
"78",78,19
"79",79,16
"80",80,15
"81",81,13
"82",82,12
"83",83,15
"84",84,15
"85",85,20
"86",86,9
"87",87,8
"88",88,8
"89",89,8
"90",90,8
"91",91,11
"92",92,15
"93",93,16
"94",94,15
"95",95,16
"96",96,16
"97",97,25
"98",98,29
"99",99,8
"100",100,9
"101",101,12
"102",102,18
"103",103,16
"104",104,22
"105",105,25
"106",106,25
"107",107,21
"108",108,22
"109",109,10
"110",110,7
"111",111,8
"112",112,11
"113",113,21
"114",114,27
"115",115,9
"116",116,10
"117",117,10
"118",118,10
"119",119,7
"120",120,6
"121",121,7
"122",122,8
"123",123,9
"124",124,9
"125",125,11
"126",126,12
"127",127,12
"128",128,13
"129",129,14
"130",130,15
"131",131,21
"132",132,30
"133",133,8
"134",134,9
"135",135,16
"136",136,24
"137",137,20
"138",138,23
"139",139,31
"140",140,34
"141",141,37
"142",142,33
"143",143,40
