"","cell_id","SR"
"1",1,116
"2",2,117
"3",3,132
"4",4,128
"5",5,130
"6",6,129
"7",7,116
"8",8,86
"9",9,125
"10",10,133
"11",11,114
"12",12,132
"13",13,136
"14",14,113
"15",15,113
"16",16,126
"17",17,143
"18",18,118
"19",19,125
"20",20,81
"21",21,82
"22",22,145
"23",23,154
"24",24,122
"25",25,130
"26",26,145
"27",27,154
"28",28,85
"29",29,88
"30",30,157
"31",31,163
"32",32,140
"33",33,160
"34",34,183
"35",35,92
"36",36,166
"37",37,171
"38",38,165
"39",39,182
"40",40,196
"41",41,217
"42",42,86
"43",43,88
"44",44,159
"45",45,189
"46",46,179
"47",47,191
"48",48,201
"49",49,210
"50",50,203
"51",51,224
"52",52,297
"53",53,303
"54",54,316
"55",55,303
"56",56,287
"57",57,188
"58",58,193
"59",59,196
"60",60,208
"61",61,223
"62",62,270
"63",63,315
"64",64,214
"65",65,297
"66",66,283
"67",67,284
"68",68,286
"69",69,289
"70",70,325
"71",71,191
"72",72,194
"73",73,229
"74",74,280
"75",75,280
"76",76,312
"77",77,337
"78",78,328
"79",79,313
"80",80,351
"81",81,300
"82",82,317
"83",83,361
"84",84,402
"85",85,409
"86",86,228
"87",87,216
"88",88,206
"89",89,193
"90",90,223
"91",91,264
"92",92,283
"93",93,249
"94",94,244
"95",95,255
"96",96,270
"97",97,307
"98",98,343
"99",99,169
"100",100,172
"101",101,254
"102",102,316
"103",103,319
"104",104,333
"105",105,345
"106",106,339
"107",107,332
"108",108,400
"109",109,254
"110",110,222
"111",111,260
"112",112,314
"113",113,382
"114",114,441
"115",115,232
"116",116,183
"117",117,170
"118",118,157
"119",119,146
"120",120,154
"121",121,129
"122",122,138
"123",123,182
"124",124,218
"125",125,233
"126",126,234
"127",127,207
"128",128,220
"129",129,235
"130",130,259
"131",131,296
"132",132,335
"133",133,153
"134",134,143
"135",135,268
"136",136,364
"137",137,315
"138",138,338
"139",139,388
"140",140,432
"141",141,440
"142",142,432
"143",143,497
"144",144,236
"145",145,245
"146",146,243
"147",147,274
"148",148,326
"149",149,348
"150",150,464
"151",151,517
"152",152,219
"153",153,203
"154",154,181
"155",155,158
"156",156,138
"157",157,116
"158",158,103
"159",159,112
"160",160,121
"161",161,140
"162",162,173
"163",163,183
"164",164,200
"165",165,195
"166",166,217
"167",167,226
"168",168,242
"169",169,279
"170",170,321
"171",171,349
"172",172,121
"173",173,239
"174",174,467
"175",175,303
"176",176,314
"177",177,417
"178",178,524
"179",179,554
"180",180,508
"181",181,499
"182",182,546
"183",183,234
"184",184,232
"185",185,255
"186",186,304
"187",187,376
"188",188,413
"189",189,443
"190",190,540
"191",191,222
"192",192,184
"193",193,164
"194",194,152
"195",195,136
"196",196,122
"197",197,112
"198",198,126
"199",199,138
"200",200,158
"201",201,168
"202",202,176
"203",203,183
"204",204,199
"205",205,217
"206",206,225
"207",207,245
"208",208,269
"209",209,329
"210",210,354
"211",211,108
"212",212,186
"213",213,518
"214",214,338
"215",215,314
"216",216,424
"217",217,562
"218",218,579
"219",219,525
"220",220,506
"221",221,603
"222",222,225
"223",223,272
"224",224,245
"225",225,227
"226",226,278
"227",227,403
"228",228,455
"229",229,510
"230",230,563
"231",231,496
"232",232,147
"233",233,210
"234",234,168
"235",235,169
"236",236,157
"237",237,138
"238",238,125
"239",239,130
"240",240,132
"241",241,153
"242",242,186
"243",243,186
"244",244,177
"245",245,192
"246",246,208
"247",247,209
"248",248,215
"249",249,257
"250",250,288
"251",251,338
"252",252,120
"253",253,156
"254",254,537
"255",255,393
"256",256,334
"257",257,422
"258",258,522
"259",259,554
"260",260,535
"261",261,551
"262",262,614
"263",263,660
"264",264,663
"265",265,296
"266",266,313
"267",267,281
"268",268,224
"269",269,226
"270",270,337
"271",271,454
"272",272,528
"273",273,550
"274",274,437
"275",275,406
"276",276,157
"277",277,173
"278",278,206
"279",279,180
"280",280,168
"281",281,165
"282",282,141
"283",283,133
"284",284,134
"285",285,144
"286",286,172
"287",287,186
"288",288,187
"289",289,174
"290",290,197
"291",291,202
"292",292,211
"293",293,225
"294",294,270
"295",295,328
"296",296,139
"297",297,141
"298",298,498
"299",299,423
"300",300,346
"301",301,421
"302",302,478
"303",303,479
"304",304,496
"305",305,516
"306",306,529
"307",307,541
"308",308,584
"309",309,670
"310",310,616
"311",311,332
"312",312,351
"313",313,331
"314",314,327
"315",315,391
"316",316,394
"317",317,451
"318",318,480
"319",319,523
"320",320,548
"321",321,425
"322",322,165
"323",323,168
"324",324,204
"325",325,212
"326",326,203
"327",327,155
"328",328,146
"329",329,166
"330",330,172
"331",331,172
"332",332,164
"333",333,170
"334",334,181
"335",335,228
"336",336,225
"337",337,220
"338",338,263
"339",339,326
"340",340,326
"341",341,190
"342",342,174
"343",343,537
"344",344,594
"345",345,416
"346",346,428
"347",347,465
"348",348,458
"349",349,453
"350",350,459
"351",351,472
"352",352,477
"353",353,518
"354",354,584
"355",355,617
"356",356,308
"357",357,370
"358",358,391
"359",359,405
"360",360,433
"361",361,458
"362",362,485
"363",363,497
"364",364,482
"365",365,505
"366",366,563
"367",367,480
"368",368,158
"369",369,169
"370",370,167
"371",371,257
"372",372,244
"373",373,208
"374",374,206
"375",375,180
"376",376,174
"377",377,174
"378",378,202
"379",379,252
"380",380,268
"381",381,243
"382",382,361
"383",383,228
"384",384,382
"385",385,937
"386",386,991
"387",387,714
"388",388,470
"389",389,508
"390",390,528
"391",391,498
"392",392,463
"393",393,461
"394",394,465
"395",395,436
"396",396,437
"397",397,460
"398",398,553
"399",399,395
"400",400,430
"401",401,414
"402",402,399
"403",403,433
"404",404,483
"405",405,517
"406",406,524
"407",407,516
"408",408,496
"409",409,536
"410",410,548
"411",411,463
"412",412,151
"413",413,178
"414",414,182
"415",415,268
"416",416,275
"417",417,246
"418",418,247
"419",419,217
"420",420,196
"421",421,216
"422",422,235
"423",423,270
"424",424,274
"425",425,355
"426",426,219
"427",427,245
"428",428,445
"429",429,1023
"430",430,1000
"431",431,648
"432",432,548
"433",433,668
