"","cell_id","elev_mean","elev_range"
"1",1,254.989883422852,2512
"2",2,198.029571533203,1577
"3",3,158.975006103516,1077
"4",4,92.2284774780273,785
"5",5,555.895141601562,2811
"6",6,353.802276611328,1350
"7",7,84.6329345703125,516
"8",8,195.444900512695,1669
"9",9,917.619018554688,3420
"10",10,605.042663574219,1583
"11",11,286.946868896484,1138
"12",12,868.285217285156,3796
"13",13,800.957824707031,2460
"14",14,503.937408447266,1265
"15",15,105.768188476562,535
"16",16,487.961547851562,2257
"17",17,814.284118652344,1690
"18",18,571.080627441406,1313
"19",19,244.322235107422,856
"20",20,772.919067382812,2359
"21",21,246.133163452148,2040
"22",22,337.704559326172,2400
"23",23,938.532104492188,2118
"24",24,888.567993164062,1690
"25",25,412.357574462891,1476
"26",26,82.4922332763672,487
"27",27,280.417907714844,1361
"28",28,550.513427734375,3089
"29",29,371.913787841797,2677
"30",30,307.675109863281,2509
"31",31,1104.748046875,3146
"32",32,1076.48718261719,1390
"33",33,676.361511230469,1455
"34",34,110.161361694336,649
"35",35,323.390655517578,2677
"36",36,193.108444213867,2310
"37",37,1219.794921875,3360
"38",38,594.7744140625,1183
"39",39,297.964569091797,639
"40",40,167.039260864258,475
"41",41,71.408821105957,1017
"42",42,303.202789306641,2625
"43",43,368.487121582031,1658
"44",44,148.951843261719,1439
"45",45,1489.98962402344,4488
"46",46,1144.48852539062,3418
"47",47,373.644714355469,609
"48",48,264.227142333984,319
"49",49,160.09587097168,786
"50",50,165.09895324707,630
"51",51,112.05623626709,477
"52",52,97.7111511230469,378
"53",53,226.183349609375,1033
"54",54,265.340209960938,1443
"55",55,588.361450195312,1877
"56",56,565.672241210938,2144
"57",57,1255.95324707031,4991
"58",58,1680.08471679688,4591
"59",59,445.772094726562,553
"60",60,290.624847412109,449
"61",61,117.588081359863,110
"62",62,75.6657485961914,93
"63",63,27.5740718841553,83
"64",64,97.0193786621094,651
"65",65,90.8512649536133,630
"66",66,72.7193908691406,161
"67",67,70.6379928588867,106
"68",68,95.4625091552734,133
"69",69,242.266662597656,857
"70",70,718.340026855469,1798
"71",71,1179.73889160156,6678
"72",72,1909.88928222656,5929
"73",73,587.309326171875,1781
"74",74,685.252502441406,2459
"75",75,163.073547363281,305
"76",76,63.9826850891113,134
"77",77,27.9522457122803,104
"78",78,94.9421768188477,260
"79",79,129.950897216797,340
"80",80,20.0897541046143,353
"81",81,407.639892578125,2146
"82",82,885.888061523438,2053
"83",83,860.728332519531,2172
"84",84,687.946411132812,2288
"85",85,525.392333984375,2260
"86",86,296.393127441406,514
"87",87,326.11669921875,476
"88",88,242.409027099609,487
"89",89,183.747253417969,523
"90",90,83.6402587890625,431
"91",91,129.874053955078,816
"92",92,315.680847167969,886
"93",93,122.192687988281,528
"94",94,75.607536315918,209
"95",95,125.790428161621,345
"96",96,237.305587768555,512
"97",97,551.593322753906,1130
"98",98,289.651641845703,1548
"99",99,1579.26904296875,6558
"100",100,2038.28515625,5585
"101",101,744.832458496094,2860
"102",102,603.784606933594,2498
"103",103,158.09814453125,738
"104",104,59.2710037231445,110
"105",105,55.3456268310547,104
"106",106,130.202484130859,407
"107",107,173.404113769531,386
"108",108,182.564895629883,558
"109",109,652.507751464844,1653
"110",110,1093.34765625,703
"111",111,1250.41027832031,973
"112",112,1398.6298828125,1242
"113",113,1554.3837890625,2188
"114",114,1087.72058105469,2980
"115",115,295.189483642578,480
"116",116,396.076416015625,356
"117",117,402.473968505859,294
"118",118,316.493194580078,339
"119",119,188.843994140625,226
"120",120,168.753189086914,237
"121",121,126.382362365723,223
"122",122,85.1759185791016,288
"123",123,131.150756835938,286
"124",124,150.752105712891,245
"125",125,101.779609680176,226
"126",126,226.727935791016,988
"127",127,116.582557678223,404
"128",128,136.000381469727,341
"129",129,140.383514404297,352
"130",130,177.531112670898,333
"131",131,302.311218261719,972
"132",132,706.054504394531,1479
"133",133,1136.76599121094,5448
"134",134,3219.71752929688,5761
"135",135,1338.18432617188,5728
"136",136,392.603607177734,3591
"137",137,142.40380859375,709
"138",138,66.0535888671875,83
"139",139,56.5459175109863,109
"140",140,73.4521102905273,155
"141",141,190.222229003906,466
"142",142,386.863098144531,813
"143",143,601.702453613281,1417
"144",144,300.278259277344,1302
"145",145,847.431884765625,1041
"146",146,898.472595214844,758
"147",147,1176.26330566406,912
"148",148,1234.67822265625,634
"149",149,1533.92321777344,1662
"150",150,1922.85241699219,2650
"151",151,629.968322753906,1733
"152",152,146.065948486328,387
"153",153,341.660430908203,357
"154",154,443.533416748047,273
"155",155,428.579833984375,224
"156",156,437.657287597656,264
"157",157,325.225402832031,314
"158",158,287.594146728516,324
"159",159,285.773895263672,349
"160",160,272.237426757812,359
"161",161,223.524993896484,283
"162",162,160.154312133789,313
"163",163,40.2360954284668,420
"164",164,49.2682418823242,475
"165",165,97.0913925170898,298
"166",166,124.866226196289,207
"167",167,147.739456176758,181
"168",168,147.180786132812,143
"169",169,179.872009277344,287
"170",170,497.645385742188,1243
"171",171,252.744720458984,1412
"172",172,3837.0546875,5776
"173",173,3011.64086914062,5182
"174",174,791.133728027344,4838
"175",175,175.700622558594,219
"176",176,107.179176330566,143
"177",177,67.2815475463867,64
"178",178,87.0121612548828,378
"179",179,259.110137939453,553
"180",180,586.392639160156,1020
"181",181,903.373596191406,1155
"182",182,382.435791015625,1717
"183",183,1007.65203857422,1705
"184",184,1028.75329589844,1335
"185",185,912.384521484375,403
"186",186,1151.30346679688,889
"187",187,1305.677734375,483
"188",188,1437.65197753906,558
"189",189,1630.15148925781,1042
"190",190,1033.80676269531,2123
"191",191,205.251159667969,458
"192",192,401.253021240234,389
"193",193,516.457458496094,259
"194",194,518.082397460938,232
"195",195,484.794464111328,227
"196",196,435.908477783203,183
"197",197,441.091278076172,341
"198",198,500.085510253906,801
"199",199,542.506713867188,1040
"200",200,425.130798339844,949
"201",201,194.659698486328,356
"202",202,40.5718231201172,220
