"","cell_id","SR"
"1",1,14
"2",2,27
"3",3,27
"4",4,24
"5",5,34
"6",6,33
"7",7,24
"8",8,12
"9",9,34
"10",10,29
"11",11,25
"12",12,34
"13",13,38
"14",14,28
"15",15,26
"16",16,28
"17",17,40
"18",18,27
"19",19,25
"20",20,2
"21",21,1
"22",22,34
"23",23,46
"24",24,37
"25",25,36
"26",26,31
"27",27,33
"28",28,2
"29",29,1
"30",30,40
"31",31,57
"32",32,40
"33",33,39
"34",34,39
"35",35,2
"36",36,36
"37",37,56
"38",38,42
"39",39,38
"40",40,45
"41",41,49
"42",42,2
"43",43,2
"44",44,30
"45",45,53
"46",46,41
"47",47,42
"48",48,51
"49",49,49
"50",50,40
"51",51,31
"52",52,47
"53",53,48
"54",54,49
"55",55,54
"56",56,55
"57",57,45
"58",58,53
"59",59,42
"60",60,54
"61",61,48
"62",62,41
"63",63,58
"64",64,33
"65",65,43
"66",66,39
"67",67,41
"68",68,39
"69",69,48
"70",70,57
"71",71,37
"72",72,55
"73",73,49
"74",74,61
"75",75,55
"76",76,64
"77",77,68
"78",78,60
"79",79,62
"80",80,76
"81",81,97
"82",82,101
"83",83,109
"84",84,117
"85",85,119
"86",86,39
"87",87,33
"88",88,31
"89",89,25
"90",90,31
"91",91,35
"92",92,34
"93",93,43
"94",94,33
"95",95,33
"96",96,38
"97",97,54
"98",98,71
"99",99,32
"100",100,44
"101",101,54
"102",102,69
"103",103,63
"104",104,66
"105",105,74
"106",106,81
"107",107,75
"108",108,86
"109",109,88
"110",110,73
"111",111,81
"112",112,94
"113",113,115
"114",114,113
"115",115,36
"116",116,29
"117",117,29
"118",118,29
"119",119,24
"120",120,17
"121",121,18
"122",122,26
"123",123,29
"124",124,32
"125",125,35
"126",126,28
"127",127,31
"128",128,29
"129",129,33
"130",130,35
"131",131,53
"132",132,71
"133",133,28
"134",134,41
"135",135,81
"136",136,85
"137",137,65
"138",138,72
"139",139,82
"140",140,96
"141",141,108
"142",142,104
"143",143,126
"144",144,86
"145",145,84
"146",146,76
"147",147,84
"148",148,87
"149",149,97
"150",150,128
"151",151,149
"152",152,25
"153",153,27
"154",154,28
"155",155,29
"156",156,31
"157",157,29
"158",158,24
"159",159,21
"160",160,26
"161",161,28
"162",162,27
"163",163,27
"164",164,28
"165",165,29
"166",166,28
"167",167,34
"168",168,37
"169",169,48
"170",170,75
"171",171,78
"172",172,33
"173",173,83
"174",174,115
"175",175,68
"176",176,73
"177",177,108
"178",178,120
"179",179,135
"180",180,135
"181",181,133
"182",182,136
"183",183,74
"184",184,75
"185",185,78
"186",186,82
"187",187,97
"188",188,116
"189",189,125
"190",190,163
"191",191,28
"192",192,22
"193",193,25
"194",194,29
"195",195,29
"196",196,27
"197",197,28
"198",198,30
"199",199,28
"200",200,31
"201",201,32
"202",202,30
"203",203,29
"204",204,30
"205",205,32
"206",206,37
"207",207,46
"208",208,53
"209",209,72
"210",210,76
"211",211,23
"212",212,65
"213",213,130
"214",214,91
"215",215,81
"216",216,112
"217",217,138
"218",218,142
"219",219,131
"220",220,141
"221",221,163
"222",222,67
"223",223,84
"224",224,82
"225",225,67
"226",226,71
"227",227,110
"228",228,143
"229",229,155
"230",230,179
"231",231,138
"232",232,30
"233",233,29
"234",234,30
"235",235,35
"236",236,33
"237",237,32
"238",238,29
"239",239,30
"240",240,33
"241",241,34
"242",242,35
"243",243,36
"244",244,30
"245",245,33
"246",246,33
"247",247,33
"248",248,42
"249",249,57
"250",250,67
"251",251,69
"252",252,28
"253",253,47
"254",254,136
"255",255,127
"256",256,94
"257",257,111
"258",258,137
"259",259,136
"260",260,141
"261",261,155
"262",262,169
"263",263,183
"264",264,183
"265",265,82
"266",266,87
"267",267,77
"268",268,69
"269",269,67
"270",270,81
"271",271,124
"272",272,155
"273",273,174
"274",274,137
"275",275,94
"276",276,49
"277",277,76
"278",278,42
"279",279,38
"280",280,43
"281",281,39
"282",282,31
"283",283,26
"284",284,26
"285",285,28
"286",286,34
"287",287,37
"288",288,37
"289",289,29
"290",290,33
"291",291,35
"292",292,35
"293",293,45
"294",294,71
"295",295,77
"296",296,35
"297",297,48
"298",298,131
"299",299,134
"300",300,100
"301",301,120
"302",302,137
"303",303,139
"304",304,137
"305",305,149
"306",306,160
"307",307,172
"308",308,191
"309",309,188
"310",310,173
"311",311,93
"312",312,98
"313",313,88
"314",314,94
"315",315,115
"316",316,107
"317",317,134
"318",318,146
"319",319,168
"320",320,177
"321",321,116
"322",322,51
"323",323,81
"324",324,45
"325",325,43
"326",326,44
"327",327,34
"328",328,23
"329",329,24
"330",330,32
"331",331,32
"332",332,33
"333",333,32
"334",334,31
"335",335,38
"336",336,36
"337",337,42
"338",338,61
"339",339,73
"340",340,74
"341",341,50
"342",342,77
"343",343,164
"344",344,171
"345",345,143
"346",346,146
